Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,113.5,115.75,112.75,114.629997,59348900,109.78053500000001
2014-12-03,115.75,116.349998,115.110001,115.93,43063400,111.02554099999999
2014-12-04,115.769997,117.199997,115.290001,115.489998,42044500,110.604153
2014-12-05,115.989998,116.08000200000001,114.639999,115.0,38318900,110.13488500000001
2014-12-08,114.099998,114.650002,111.620003,112.400002,57664900,107.64488
2014-12-09,110.190002,114.300003,109.349998,114.120003,60208000,109.292116
2014-12-10,114.410004,114.849998,111.540001,111.949997,44565300,107.21391299999999
2014-12-11,112.260002,113.800003,111.339996,111.620003,41401700,106.897879
2014-12-12,110.459999,111.870003,109.58000200000001,109.730003,56028100,105.08783700000001
2014-12-15,110.699997,111.599998,106.349998,108.230003,67218100,103.65129499999999
2014-12-16,106.370003,110.160004,106.260002,106.75,60790700,102.23390400000001
2014-12-17,107.120003,109.839996,106.82,109.410004,53411800,104.781375
2014-12-18,111.870003,112.650002,110.660004,112.650002,59006200,107.884304
2014-12-19,112.260002,113.239998,111.660004,111.779999,88429800,107.051107
2014-12-22,112.160004,113.489998,111.970001,112.940002,45167500,108.16203600000001
2014-12-23,113.230003,113.33000200000001,112.459999,112.540001,26028400,107.778957
2014-12-24,112.58000200000001,112.709999,112.010002,112.010002,14479600,107.27138000000001
2014-12-26,112.099998,114.519997,112.010002,113.989998,33721000,109.16761100000001
2014-12-29,113.790001,114.769997,113.699997,113.910004,27598900,109.091001
2014-12-30,113.639999,113.91999799999999,112.110001,112.519997,29881500,107.759799
2014-12-31,112.82,113.129997,110.209999,110.379997,41403400,105.710333
2015-01-02,111.389999,111.440002,107.349998,109.33000200000001,53204600,104.704758
2015-01-05,108.290001,108.650002,105.410004,106.25,64285500,101.755057
2015-01-06,106.540001,107.43,104.629997,106.260002,65797100,101.764636
2015-01-07,107.199997,108.199997,106.699997,107.75,40105900,103.191599
2015-01-08,109.230003,112.150002,108.699997,111.889999,59364500,107.15645400000001
2015-01-09,112.66999799999999,113.25,110.209999,112.010002,53699500,107.27138000000001
2015-01-12,112.599998,112.629997,108.800003,109.25,49650800,104.62814
2015-01-13,111.43,112.800003,108.910004,110.220001,67091900,105.557105
2015-01-14,109.040001,110.489998,108.5,109.800003,48337000,105.154875
2015-01-15,110.0,110.059998,106.660004,106.82,60014000,102.300942
2015-01-16,107.029999,107.58000200000001,105.199997,105.989998,78513300,101.506054
2015-01-20,107.839996,108.970001,106.5,108.720001,49899900,104.120563
2015-01-21,108.949997,111.059998,108.269997,109.550003,48575900,104.915452
2015-01-22,110.260002,112.470001,109.720001,112.400002,53796400,107.64488
2015-01-23,112.300003,113.75,111.529999,112.980003,46464800,108.200345
2015-01-26,113.739998,114.360001,112.800003,113.099998,55615000,108.31526299999999
2015-01-27,112.41999799999999,112.480003,109.029999,109.139999,95568700,104.52279300000001
2015-01-28,117.629997,118.120003,115.309998,115.309998,146477100,110.43176799999999
2015-01-29,116.32,119.190002,115.559998,118.900002,84436400,113.869895
2015-01-30,118.400002,120.0,116.849998,117.160004,83745500,112.20350900000001
